roster_randomid,url,action,created_at,interaction_seconds,remote_ip
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-20T05:19:26Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748121?module_item_id=62435,show,2016-07-19T18:03:09Z,18.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T18:03:01Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-19T18:02:03Z,14.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T18:01:57Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748121?module_item_id=62435,show,2016-07-19T17:12:01Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T17:11:53Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748099?module_item_id=62426,show,2016-07-19T17:11:42Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T17:11:26Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49371/submissions/11512?preview=1&rand=370241,show,2016-07-19T06:17:53Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49371/submissions/11512,show,2016-07-19T06:17:52Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T06:17:45Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748105?module_item_id=62429,show,2016-07-19T06:16:48Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T06:16:41Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-19T05:07:59Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T05:07:55Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/week-5-daily-lectures?module_item_id=62449,show,2016-07-19T04:15:30Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-19T04:15:20Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748107/download?wrap=1,show,2016-07-18T23:03:32Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49371?module_item_id=62424,show,2016-07-18T23:03:23Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T23:03:19Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748105?module_item_id=62429,show,2016-07-18T23:03:16Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T23:02:29Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748108?module_item_id=62428,show,2016-07-18T22:10:17Z,12.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T22:10:09Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49370?module_item_id=62423,show,2016-07-18T21:49:54Z,16.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T21:49:33Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/pages/reading-schedule?module_item_id=62397,show,2016-07-18T17:18:35Z,22.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748099?module_item_id=62426,show,2016-07-18T17:18:01Z,21.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T03:58:00Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748134?module_item_id=62436,show,2016-07-18T03:57:03Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T03:56:58Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/files/748159?module_item_id=62427,show,2016-07-18T03:56:27Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T03:56:19Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T02:48:02Z,12.0,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49375,show,2016-07-18T02:14:00Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49375/submissions,create,2016-07-18T02:14:00Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49375,show,2016-07-18T02:11:37Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230,show,2016-07-18T02:09:10Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49371/submissions/11512?preview=1&rand=273613,show,2016-07-18T02:09:05Z,,70.187.187.85
104500,https://canvas.eee.uci.edu/courses/2230/assignments/49371/submissions/11512,show,2016-07-18T02:09:04Z,,70.187.187.85
